Inspection ID,License #,DBA Name,Facility Type,Risk,City,State,Results
2611481,2398793,wing stop # 894,restaurant,risk 1 (high),chicago,il,pass
2611487,2753804,dirty tiffs cafe,restaurant,risk 1 (high),chicago,il,pass
2611460,2996898,sheraton grand chicago riverwalk,restaurant,risk 3 (low),chicago,il,pass
2611439,1908435,birrieria y taqueria lopez,restaurant,risk 1 (high),chicago,il,pass
2609942,2458622,the burger point,restaurant,risk 1 (high),chicago,il,fail
2611451,3010812,mcdonalds,restaurant,risk 2 (medium),chicago,il,pass
2611477,1922096,subway sandwich,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2610010,2622058,wingstop,restaurant,risk 1 (high),chicago,il,pass
2611453,2996902,sheraton grand chicago riverwalk,restaurant,risk 3 (low),chicago,il,pass
2611444,2717613,paleteria mi lindo michoacan inc.,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2608139,2626545,amazon go,convenient store,risk 2 (medium),chicago,il,pass
2611371,3010724,citgo,grocery store,risk 1 (high),chicago,il,pass
2611482,2998019,ayayay-comida mexicana,restaurant,risk 1 (high),chicago,il,pass
2611478,1575975,best bbq,restaurant,risk 1 (high),chicago,il,pass
2611454,2996887,sheraton grand chicago riverwalk,restaurant,risk 3 (low),chicago,il,pass
2610058,2677722,qiao lin hot pot,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2611441,2996897,sheraton grand chicago riverwalk,restaurant,risk 1 (high),chicago,il,pass
1434955,2204120,3gs bbq restaurant,restaurant,risk 1 (high),chicago,il,fail
2608125,2240202,supermercado el taxquenito,grocery store,risk 1 (high),chicago,il,out of business
2609642,1595947,dragon gate,restaurant,risk 1 (high),chicago,il,fail
1441450,2222174,szechuan cuisine,restaurant,risk 1 (high),chicago,il,fail
2608106,2141717,"station restaurant and bar, vinny's pizza bar, boo",restaurant,risk 1 (high),chicago,il,pass w/ conditions
2608110,2918408,"it takes a village on wabash, llc",children's services facility,risk 1 (high),chicago,il,pass
2610760,2470562,jj fish & chicken,restaurant,risk 2 (medium),chicago,il,pass
1345882,30962,udupi palace restaurant,restaurant,risk 1 (high),chicago,il,pass
1453372,1515016,target store # 1889,restaurant,risk 2 (medium),chicago,il,pass
2608634,2657927,taconazo el original #1,restaurant,risk 1 (high),chicago,il,pass
2609017,2831319,1200 grill,restaurant,risk 1 (high),chicago,il,pass
2609345,2493082,burrito beach,restaurant,risk 1 (high),chicago,il,pass
2608083,2998022,casa tulum,restaurant,risk 1 (high),chicago,il,fail
2610263,46344,i.h.o.p.,restaurant,risk 1 (high),chicago,il,pass
1418424,2079754,super gift & groceries,grocery store,risk 2 (medium),chicago,il,pass
